agr_name;agr_participant;cri_inst_name_all;cri_inst_id;publisher_standard_name;edvarda_participant_id;agr_inst_tag
acs;Høgskolen i Østfold;Høgskolen i Østfold;224;American Chemical Society;15443;hioef
acs;NILU - Stiftelsen Norsk Institutt For Luftforskning;NILU - Norsk institutt for luftforskning;7460;American Chemical Society;15488;nilu
acs;Norges Geotekniske Institutt;Norges Geotekniske Institutt;7452;American Chemical Society;15477;ngi
acs;Norges miljø- og biovitenskapelige universitet;Norges miljø- og biovitenskapelige universitet;192;American Chemical Society;15493;nmbu
acs;Norges teknisk-naturvitenskapelige universitet;Norges teknisk-naturvitenskapelige universitet;194;American Chemical Society;15507;ntnu
acs;Norsk Institutt For Vannforskning;Norsk institutt for vannforskning;7464;American Chemical Society;15491;niva
acs;SINTEF AS;SINTEF Narvik;6228;American Chemical Society;15526;sintef
acs;SINTEF AS;SINTEF AS;7401;American Chemical Society;15526;sintef02
acs;SINTEF AS;SINTEF Energi AS;7548;American Chemical Society;15526;sintef03
acs;SINTEF AS;SINTEF Ocean;7566;American Chemical Society;15526;sintef04
acs;SINTEF AS;SINTEF Manufacturing;7630;American Chemical Society;15526;sintef05
acs;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;American Chemical Society;15550;uio
acs;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;American Chemical Society;15552;uit
acs;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;American Chemical Society;15552;uit02
acs;Universitetet i Bergen;Universitetet i Bergen;184;American Chemical Society;15549;uib
acs;Universitetet I Stavanger;Universitetet i Stavanger;217;American Chemical Society;15551;uis
acs;Universitetet I Sørøst-Norge;Universitetet i Sørøst-Norge;222;American Chemical Society;15447;usn
acs;Universitetssenteret på Svalbard;Universitetssenteret på Svalbard;195;American Chemical Society;15553;unis
cup;Bergen Global, Chr. Michelsens Institutt;Chr. Michelsen Institute;7416;Cambridge University Press;15355;cmi
cup;Handelshøyskolen BI;Handelshøyskolen BI;158;Cambridge University Press;15353;bi
cup;Høgskulen På Vestlandet;Høgskulen på Vestlandet;203;Cambridge University Press;15449;hvl
cup;Institutt For Fredsforskning;PRIO - Institutt for fredsforskning;7435;Cambridge University Press;15516;prio
cup;NIBIO;Norsk institutt for bioøkonomi;7677;Cambridge University Press;15481;nibio
cup;Nord Universitet;Nord universitet;204;Cambridge University Press;15499;nord
cup;Norges teknisk-naturvitenskapelige universitet;Norges teknisk-naturvitenskapelige universitet;194;Cambridge University Press;15507;ntnu
cup;Norges teknisk-naturvitenskapelige universitet;St. Olavs Hospital HF;1920;Cambridge University Press;15507;ntnu02
cup;OsloMet - Storbyuniversitetet;OsloMet - storbyuniversitetet;215;Cambridge University Press;15439;oslomet
cup;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;Cambridge University Press;15550;uio
cup;UiO : Universitetsbiblioteket;Oslo universitetssykehus HF;2012;Cambridge University Press;15550;uio02
cup;UiO : Universitetsbiblioteket;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;Cambridge University Press;15550;uio03
cup;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;Cambridge University Press;15552;uit
cup;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;Cambridge University Press;15552;uit02
cup;Universitetet i Agder;Universitetet i Agder;201;Cambridge University Press;15548;uia
cup;Universitetet i Bergen;Universitetet i Bergen;184;Cambridge University Press;15549;uib
cup;Universitetet i Bergen;Helse Bergen HF - Haukeland universitetssykehus;1936;Cambridge University Press;15549;uib02
cup;Universitetet I Stavanger;Universitetet i Stavanger;217;Cambridge University Press;15551;uis
cup;Universitetet I Stavanger;Helse Stavanger HF - Stavanger universitetssjukehus;1938;Cambridge University Press;15551;uis02
degruyter;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;DeGruyter;15550;uio
degruyter;UiO : Universitetsbiblioteket;Oslo universitetssykehus HF;2012;DeGruyter;15550;uio02
degruyter;UiO : Universitetsbiblioteket;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;DeGruyter;15550;uio03
degruyter;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;DeGruyter;15552;uit
degruyter;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;DeGruyter;15552;uit02
degruyter;Universitetet i Bergen;Universitetet i Bergen;184;DeGruyter;15549;uib
degruyter;Universitetet i Bergen;Helse Bergen HF - Haukeland universitetssykehus;1936;DeGruyter;15549;uib02
elsevier;Bergen Global, Chr. Michelsens Institutt;Chr. Michelsen Institute;7416;Elsevier;15355;cmi
elsevier;Departementenes Sikkerhets- Og Serviceorganisasjon;NA;NA;Elsevier;15361;dss
elsevier;Direktoratet for strålevern og atomsikkerhet;NA;NA;Elsevier;15505;dsa
elsevier;Folkehelseinstituttet;Folkehelseinstituttet;7502;Elsevier;15419;fhi
elsevier;Forsvarets forskningsinstitutt;Forsvarets forskningsinstitutt;7428;Elsevier;15418;ffi
elsevier;GRID-Arendal;NA;NA;Elsevier;51025;grid
elsevier;Handelshøyskolen BI;Handelshøyskolen BI;158;Elsevier;15353;bi
elsevier;Havforskningsinstituttet;Havforskningsinstituttet;7431;Elsevier;15454;imr
elsevier;Høgskolen I Innlandet;Høgskolen i Innlandet;209;Elsevier;15428;inn
elsevier;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;211;Elsevier;15435;himolde
elsevier;Høgskolen i Østfold;Høgskolen i Østfold;224;Elsevier;15443;hioef
elsevier;Høgskulen På Vestlandet;Høgskulen på Vestlandet;203;Elsevier;15449;hvl
elsevier;Høyskolen Kristiania - Ernst G Mortensens Stiftelse;Høyskolen Kristiania;1615;Elsevier;15444;hk
elsevier;Institutt for energiteknikk;Institutt for energiteknikk;7492;Elsevier;15451;ife
elsevier;Lovisenberg Diakonale Høgskole;Lovisenberg diakonale høgskole;230;Elsevier;15464;ldh
elsevier;Meteorologisk institutt;Meteorologisk institutt;7419;Elsevier;15468;met
