agr_name;agr_participant;agr_inst_tag;cri_inst_name_all;cri_inst_id;edvarda_participant_id;publisher_standard_name;agr_name_edvarda;agr_date_start;agr_date_end;agr_date_updated;agr_prod_name
acs;Høgskolen i Østfold;hioef;Høgskolen i Østfold;224;15443;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;NIBIO;nibio;Norsk institutt for bioøkonomi;7677;15481;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;NILU - Stiftelsen Norsk Institutt For Luftforskning;nilu;NILU - Norsk institutt for luftforskning;7460;15488;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;Norges Geotekniske Institutt;ngi;Norges Geotekniske Institutt;7452;15477;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;Norges miljø- og biovitenskapelige universitet;nmbu;Norges miljø- og biovitenskapelige universitet;192;15493;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;Norges teknisk-naturvitenskapelige universitet;ntnu;Norges teknisk-naturvitenskapelige universitet;194;15507;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;Norsk Institutt For Vannforskning;niva;Norsk institutt for vannforskning;7464;15491;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;SINTEF AS;sintef;SINTEF Narvik;6228;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;SINTEF AS;sintef02;SINTEF AS;7401;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;SINTEF AS;sintef03;SINTEF Energi AS;7548;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;SINTEF AS;sintef04;SINTEF Ocean;7566;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;SINTEF AS;sintef05;SINTEF Manufacturing;7630;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;UiO : Universitetsbiblioteket;uio;Universitetet i Oslo;185;15550;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;UiT - Norges arktiske universitet;uit;UiT Norges arktiske universitet;186;15552;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;UiT - Norges arktiske universitet;uit02;Universitetssykehuset Nord-Norge HF;1902;15552;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;Universitetet I Stavanger;uis;Universitetet i Stavanger;217;15551;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;Universitetet I Sørøst-Norge;usn;Universitetet i Sørøst-Norge;222;15447;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;Universitetet i Bergen;uib;Universitetet i Bergen;184;15549;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
acs;Universitetssenteret på Svalbard;unis;Universitetssenteret på Svalbard;195;15553;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2023-04-24;NA
cup;Barne-, ungdoms- og familiedirektoratet;bufdir;NA;NA;15356;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Bergen Global, Chr. Michelsens Institutt;cmi;Chr. Michelsen Institute;7416;15355;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Handelshøyskolen BI;bi;Handelshøyskolen BI;158;15353;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Høgskulen På Vestlandet;hvl;Høgskulen på Vestlandet;203;15449;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Institutt For Fredsforskning;prio;PRIO - Institutt for fredsforskning;7435;15516;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;NIBIO;nibio;Norsk institutt for bioøkonomi;7677;15481;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;NORCE Norwegian Research Centre AS;norce;NORCE Norwegian Research Centre AS;2057;50928;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Nord Universitet;nord;Nord universitet;204;15499;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Norges teknisk-naturvitenskapelige universitet;ntnu;Norges teknisk-naturvitenskapelige universitet;194;15507;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Norges teknisk-naturvitenskapelige universitet;ntnu02;St. Olavs Hospital HF;1920;15507;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;OsloMet - Storbyuniversitetet;oslomet;OsloMet - storbyuniversitetet;215;15439;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;UiO : Universitetsbiblioteket;uio;Universitetet i Oslo;185;15550;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;UiO : Universitetsbiblioteket;uio02;Oslo universitetssykehus HF;2012;15550;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;UiO : Universitetsbiblioteket;uio03;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;15550;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;UiT - Norges arktiske universitet;uit;UiT Norges arktiske universitet;186;15552;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;UiT - Norges arktiske universitet;uit02;Universitetssykehuset Nord-Norge HF;1902;15552;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Universitetet I Stavanger;uis;Universitetet i Stavanger;217;15551;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Universitetet I Stavanger;uis02;Helse Stavanger HF - Stavanger universitetssjukehus;1938;15551;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Universitetet i Agder;uia;Universitetet i Agder;201;15548;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Universitetet i Bergen;uib;Universitetet i Bergen;184;15549;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
cup;Universitetet i Bergen;uib02;Helse Bergen HF - Haukeland universitetssykehus;1936;15549;Cambridge University Press;CUP 2023-2024;2023-01-01;2024-12-31;2023-04-24;NA
degruyter;UiO : Universitetsbiblioteket;uio;Universitetet i Oslo;185;15550;DeGruyter;Degruyter journals, ebooks & databases;2020-01-01;2023-12-31;NA;Degruyter Complete Journal Package + Hybrid OA transformative pricing
degruyter;UiO : Universitetsbiblioteket;uio02;Oslo universitetssykehus HF;2012;15550;DeGruyter;Degruyter journals, ebooks & databases;2020-01-01;2023-12-31;NA;Degruyter Complete Journal Package + Hybrid OA transformative pricing
degruyter;UiO : Universitetsbiblioteket;uio03;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;15550;DeGruyter;Degruyter journals, ebooks & databases;2020-01-01;2023-12-31;NA;Degruyter Complete Journal Package + Hybrid OA transformative pricing
degruyter;UiT - Norges arktiske universitet;uit;UiT Norges arktiske universitet;186;15552;DeGruyter;Degruyter journals, ebooks & databases;2020-01-01;2023-12-31;NA;Degruyter Complete Journal Package + Hybrid OA transformative pricing
degruyter;UiT - Norges arktiske universitet;uit02;Universitetssykehuset Nord-Norge HF;1902;15552;DeGruyter;Degruyter journals, ebooks & databases;2020-01-01;2023-12-31;NA;Degruyter Complete Journal Package + Hybrid OA transformative pricing
degruyter;Universitetet i Bergen;uib;Universitetet i Bergen;184;15549;DeGruyter;Degruyter journals, ebooks & databases;2020-01-01;2023-12-31;NA;Degruyter Complete Journal Package + Hybrid OA transformative pricing
degruyter;Universitetet i Bergen;uib02;Helse Bergen HF - Haukeland universitetssykehus;1936;15549;DeGruyter;Degruyter journals, ebooks & databases;2020-01-01;2023-12-31;NA;Degruyter Complete Journal Package + Hybrid OA transformative pricing
elsevier;Bergen Global, Chr. Michelsens Institutt;cmi;Chr. Michelsen Institute;7416;15355;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Departementenes Sikkerhets- Og Serviceorganisasjon;dss;NA;NA;15361;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Direktoratet for strålevern og atomsikkerhet;dsa;NA;NA;15505;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Folkehelseinstituttet;fhi;Folkehelseinstituttet;7502;15419;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Forsvarets forskningsinstitutt;ffi;Forsvarets forskningsinstitutt;7428;15418;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;GRID-Arendal;grid;NA;NA;51025;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Handelshøyskolen BI;bi;Handelshøyskolen BI;158;15353;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Havforskningsinstituttet;imr;Havforskningsinstituttet;7431;15454;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Høgskolen I Innlandet;inn;Høgskolen i Innlandet;209;15428;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;himolde;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;211;15435;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
elsevier;Høgskolen i Østfold;hioef;Høgskolen i Østfold;224;15443;Elsevier;Science Direct 2022-2024;2022-01-01;2024-12-31;NA;Freedom Collection
