agr_name;agr_participant;agr_inst_tag;cri_inst_name_all;cri_inst_id;edvarda_participant_id;publisher_standard_name;agr_name_edvarda;agr_date_start;agr_date_end;agr_date_updated
acm;Arkitektur- og designhøgskolen i Oslo;aho;Arkitektur- og designhøgskolen i Oslo;189;15345;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Forsvarets Høgskole;fhs;Forsvarets høgskole;1627;15420;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Forsvarets forskningsinstitutt;ffi;Forsvarets forskningsinstitutt;7428;15418;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Høgskolen i Østfold;hioef;Høgskolen i Østfold;224;15443;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Høgskulen På Vestlandet;hvl;Høgskulen på Vestlandet;203;15449;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Høyskolen Kristiania - Ernst G Mortensens Stiftelse;hk;Høyskolen Kristiania;1615;15444;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Nord Universitet;nord;Nord universitet;204;15499;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Norges teknisk-naturvitenskapelige universitet;ntnu;Norges teknisk-naturvitenskapelige universitet;194;15507;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Norges teknisk-naturvitenskapelige universitet;ntnu_1920;St. Olavs Hospital HF;1920;15507;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;OsloMet - Storbyuniversitetet;oslomet;OsloMet - storbyuniversitetet;215;15439;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;SINTEF AS;sintef;SINTEF AS;7401;15526;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;SINTEF AS;sintef_6228;SINTEF Narvik;6228;15526;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;SINTEF AS;sintef_7548;SINTEF Energi AS;7548;15526;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;SINTEF AS;sintef_7566;SINTEF Ocean;7566;15526;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;SINTEF AS;sintef_7630;SINTEF Manufacturing;7630;15526;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;UiO : Universitetsbiblioteket;uio;Universitetet i Oslo;185;15550;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;UiO : Universitetsbiblioteket;uio_2012;Oslo universitetssykehus HF;2012;15550;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;UiT - Norges arktiske universitet;uit;UiT Norges arktiske universitet;186;15552;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;UiT - Norges arktiske universitet;uit_1902;Universitetssykehuset Nord-Norge HF;1902;15552;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Universitetet i Agder;uia;Universitetet i Agder;201;15548;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Universitetet i Bergen;uib;Universitetet i Bergen;184;15549;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
acm;Universitetet i Bergen;uib_1936;Helse Bergen HF - Haukeland universitetssykehus;1936;15549;ACM;ACM 2025-2027;2025-01-01;2027-12-31;2025-02-24
cup;Barne-, ungdoms- og familiedirektoratet;bufdir;NA;NA;15356;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Bergen Global, Chr. Michelsens Institutt;cmi;Chr. Michelsen Institute;7416;15355;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Handelshøyskolen BI;bi;Handelshøyskolen BI;158;15353;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Havforskningsinstituttet;imr;Havforskningsinstituttet;7431;15454;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Høgskulen På Vestlandet;hvl;Høgskulen på Vestlandet;203;15449;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Institutt For Fredsforskning;prio;PRIO - Institutt for fredsforskning;7435;15516;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Institutt For Samfunnsforskning;isf;Institutt for samfunnsforskning;7437;15455;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;NIBIO;nibio;Norsk institutt for bioøkonomi;7677;15481;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;NORCE Norwegian Research Centre AS;norce;NORCE Norwegian Research Centre AS;2057;50928;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Nofima;nofima;NOFIMA;7543;15496;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Nord Universitet;nord;Nord universitet;204;15499;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Norges teknisk-naturvitenskapelige universitet;ntnu;Norges teknisk-naturvitenskapelige universitet;194;15507;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Norges teknisk-naturvitenskapelige universitet;ntnu_1920;St. Olavs Hospital HF;1920;15507;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Norsk Polarinstitutt;npolar;Norsk Polarinstitutt;7466;15502;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;OsloMet - Storbyuniversitetet;oslomet;OsloMet - storbyuniversitetet;215;15439;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;SINTEF AS;sintef;SINTEF AS;7401;15526;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;SINTEF AS;sintef_6228;SINTEF Narvik;6228;15526;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;SINTEF AS;sintef_7548;SINTEF Energi AS;7548;15526;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;SINTEF AS;sintef_7566;SINTEF Ocean;7566;15526;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;SINTEF AS;sintef_7630;SINTEF Manufacturing;7630;15526;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;UiO : Universitetsbiblioteket;uio;Universitetet i Oslo;185;15550;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;UiO : Universitetsbiblioteket;uio_2012;Oslo universitetssykehus HF;2012;15550;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;UiT - Norges arktiske universitet;uit;UiT Norges arktiske universitet;186;15552;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;UiT - Norges arktiske universitet;uit_1902;Universitetssykehuset Nord-Norge HF;1902;15552;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Universitetet I Stavanger;uis;Universitetet i Stavanger;217;15551;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Universitetet I Stavanger;uis_1938;Helse Stavanger HF - Stavanger universitetssjukehus;1938;15551;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Universitetet I Sørøst-Norge;usn;Universitetet i Sørøst-Norge;222;15447;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Universitetet i Agder;uia;Universitetet i Agder;201;15548;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Universitetet i Bergen;uib;Universitetet i Bergen;184;15549;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Universitetet i Bergen;uib_1936;Helse Bergen HF - Haukeland universitetssykehus;1936;15549;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
cup;Universitetssenteret på Svalbard;unis;Universitetssenteret på Svalbard;195;15553;Cambridge University Press;CUP 2025-27;2025-01-01;2027-12-31;2025-02-24
